Facility Category,Name of Building/Facility,Address of Building/Facility,建築物/設施名稱,建築物/設施名稱.1,Country Park/Special Area,郊野公園/特別地區,Telephone,聯絡電話,Website,網頁,Latitude Decimal Degree(DD.DDD),Longitude Decimal Degree(DD.DDD),Service Hours (From),Service Hours (To)
Country Park Toilet Locations,Toilet (Kau Ling Chung Campsite),Kau Ling Chung Campsite,廁所 (狗嶺涌營地),狗嶺涌營地,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.20454,113.86364,0:00,24:00:00
Country Park Toilet Locations,Toilet (Kau Ling Chung Catchwater Picnic Site No. 3; near Lantau Trail - Section No. 8 Start Point),Kau Ling Chung Catchwater Picnic Site No. 3; near Lantau Trail - Section No. 8 Start Point,廁所 (狗嶺涌引水道郊遊場地3號；近鳳凰徑- 第8段 起點 ),狗嶺涌引水道郊遊場地3號；近鳳凰徑- 第8段 起點,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.20777,113.86811,0:00,24:00:00
Country Park Toilet Locations,Toilet (Lions Nature Education Centre - Car Park),Lions Nature Education Centre,廁所 (獅子會自然教育中心 - 停車場),獅子會自然教育中心,TSIU HANG SPECIAL AREA,蕉坑特別地區,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.3742,114.26521,0:00,24:00:00
Country Park Toilet Locations,Toilet (Lions Nature Education Centre - Cafeteria),Lions Nature Education Centre,廁所 (獅子會自然教育中心 - 聰鳴茶座),獅子會自然教育中心,TSIU HANG SPECIAL AREA,蕉坑特別地區,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.37444,114.26265,0:00,24:00:00
Country Park Toilet Locations,Toilet (Lions Nature Education Centre - Visitor Centre),Lions Nature Education Centre,廁所 (獅子會自然教育中心 - 遊客中心),獅子會自然教育中心,TSIU HANG SPECIAL AREA,蕉坑特別地區,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.37366,114.26423,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Sham Tseng Picnic Site No. 310, Tai Lam Chung Reservoir)","Sham Tseng Picnic Site No. 310, Tai Lam Chung Reservoir",廁所(深井郊遊場地310號；大欖涌水塘),深井郊遊場地310號；大欖涌水塘,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.37384,114.02071,0:00,24:00:00
Country Park Toilet Locations,Toilet (High Island Reservoir West Dam; MacLehose Trail - Section No. 1),High Island Reservoir West Dam; MacLehose Trail - Section No. 1,廁所 (萬宜水庫西壩；麥理浩徑 - 第一段),萬宜水庫西壩；麥理浩徑 - 第一段,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.37057,114.34209,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Tuen Mun Barbecue Site No. 2, Tuen Mun Fitness Trail)","Tuen Mun Barbecue Site No. 2, Tuen Mun Fitness Trail",廁所(屯門燒烤場地2號；屯門健身徑),屯門燒烤場地2號；屯門健身徑,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.38328,113.98403,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Halfway along MacLehose Trail - Section No. 10, Tai Lam Chung Reservoir)","Halfway along MacLehose Trail - Section No. 10, Tai Lam Chung Reservoir",廁所(大欖涌水塘 麥理浩徑 - 第十段 中間位),大欖涌水塘 麥理浩徑 - 第十段 中間位,TAI LAM COUNTRY PARK,大欖郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.38446,114.01936,0:00,24:00:00
Country Park Toilet Locations,"Toilet (Lau Shui Heung Road, near Lau Shui Heung Irrigation Reservoir)","Lau Shui Heung Road, near Lau Shui Heung Irrigation Reservoir",廁所(流水響道 近流水嚮灌溉水塘),流水響道 近流水嚮灌溉水塘,PAT SIN LENG COUNTRY PARK,八仙嶺郊野公園,1823,1823,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis_rec/cou_vis_dis.html,https://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_rec/cou_vis_dis.html,22.4968,114.16998,0:00,24:00:00
